address,label,vuln_type,filename,status,source,scam_type,contract_name,source_lines,amount_usd,fetched_at
0xBB9bc244D798123fDe783fCc1C72d3Bb8C189413,1,reentrancy,contracts\vulnerable\0xbb9bc244_reentrancy.sol,downloaded,etherscan,none,0xbb9bc244_reentrancy,122.0,,2026-04-25 10:56:04
0xc0a47dFe034B400B47bDaD5FecDa2621de6c4d95,1,reentrancy,contracts\vulnerable\0xc0a47dfe_reentrancy.sol,downloaded,etherscan,none,0xc0a47dfe_reentrancy,122.0,,2026-04-25 10:56:04
0x0eEe3E3828A45f7601D5F54bF49bB01d1A9dF5ea,1,reentrancy,contracts\vulnerable\0x0eee3e38_reentrancy.sol,downloaded,etherscan,none,0x0eee3e38_reentrancy,122.0,,2026-04-25 10:56:04
0x780F75ad0B02afeb6039672E6a6CEDe7447a8b45,1,reentrancy,contracts\vulnerable\0x780f75ad_reentrancy.sol,downloaded,etherscan,none,0x780f75ad_reentrancy,122.0,,2026-04-25 10:56:04
0x9441D7556e7820B5ca42082cfa99487D56AcA958,1,flash_loan,contracts\vulnerable\0x9441d755_flash_loan.sol,downloaded,etherscan,none,0x9441d755_flash_loan,122.0,,2026-04-25 10:56:04
0x3FDA67f7583380E67ef93072294a7fAc882FD7E7,1,flash_loan,contracts\vulnerable\0x3fda67f7_flash_loan.sol,downloaded,etherscan,none,0x3fda67f7_flash_loan,122.0,,2026-04-25 10:56:04
0x27182842E098f60e3D576794A5bFFb0777E025d3,1,flash_loan,contracts\vulnerable\0x27182842_flash_loan.sol,downloaded,etherscan,none,0x27182842_flash_loan,122.0,,2026-04-25 10:56:04
0x863DF6BFa4469f3ead0bE8f9F2AAE51c91A907b4,1,access_control,contracts\vulnerable\0x863df6bf_access_control.sol,downloaded,etherscan,none,0x863df6bf_access_control,122.0,,2026-04-25 10:56:04
0x250e76987d838a75310c34bf422ea9f1AC4Cc906,1,access_control,contracts\vulnerable\0x250e7698_access_control.sol,downloaded,etherscan,none,0x250e7698_access_control,122.0,,2026-04-25 10:56:04
0x1A2a1c938CE3eC39b6D47113c7955bAa9DD454F2,1,access_control,contracts\vulnerable\0x1a2a1c93_access_control.sol,downloaded,etherscan,none,0x1a2a1c93_access_control,122.0,,2026-04-25 10:56:04
0x3d9819210A31b4961b30EF54bE2aeD79B9c9Cd3B,1,oracle_manipulation,contracts\vulnerable\0x3d981921_oracle_manipulation.sol,downloaded,etherscan,none,0x3d981921_oracle_manipulation,122.0,,2026-04-25 10:56:04
