category,source,title,url,date,summary,amount_usd,vuln_type,keyword_matched,extra,scraped_at
news,CoinTelegraph,Solv Protocol offers 10% bounty after $2.7M vault exploit,https://cointelegraph.com/news/hacker-steals-nearly-3-million-from-solv-protocol?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,"Fri, 06 Ma","Crypto security researchers say the hacker exploited a bug allowing them to mint tokens, before swapping the freely-gained tokens for another tied to Bitcoin.",N/A,unknown,exploit,{},2026-03-06 15:06:59
news,Decrypt.co,FATF Flags Peer-to-Peer Stablecoin Transfers as Top Money Laundering Risk,https://decrypt.co/360087/fatf-flags-peer-to-peer-stablecoin-transfers-as-top-money-laundering-risk,"Thu, 05 Ma",The Financial Action Task Force wants issuers to embed freeze and deny-list controls directly into smart contracts.,N/A,unknown,smart contract,{},2026-03-06 15:07:54
news,Decrypt.co,"Apple iPhone Hacking Kit Used By Spies, Crypto Scams Could Have US Intelligence Origins",https://decrypt.co/359927/apple-iphone-hacking-kit-used-by-spies-crypto-scams-could-have-us-intelligence-origins,"Wed, 04 Ma",Researchers said a sophisticated exploit kit with 23 iOS vulnerabilities is being used by espionage and cybercrime campaigns.,N/A,unknown,exploit,{},2026-03-06 15:07:54
news,CryptoSlate,Tether gets a Big Four auditor — but its $189B USDT stablecoin still isn’t included,https://cryptoslate.com/tether-finally-lands-a-big-four-auditor-for-us-stablecoin-yet-usdts-credibility-battle-remains-ongoing/,"Wed, 04 Ma","Tether has landed a Big Four accounting firm’s name on a reserve report tied to its US strategy. On Feb. 27, Deloitte issued an independent accountant’s report on Anchorage Digital Bank’s “USAT Reserve Report,” an attestation covering USAT, a US dollar token issued by Anchorage Digital Bank, National Association, in collaboration with Tether. The development [&#8230;] The post Tether gets a Big Fo...",N/A,unknown,audit,{},2026-03-06 15:08:18
news,CryptoBriefing,Trade war jitters drag crypto lower across the board,https://cryptobriefing.com/trade-war-jitters-drag-crypto-lower/,"Thu, 05 Ma","The crypto market's vulnerability to global trade tensions highlights its integration with traditional financial systems, affecting investor sentiment. The post Trade war jitters drag crypto lower across the board appeared first on Crypto Briefing .",N/A,unknown,vulnerability,{},2026-03-06 15:08:35
news,CryptoBriefing,Geopolitical tensions drag crypto lower as Middle East conflict escalates,https://cryptobriefing.com/geopolitical-tensions-drag-crypto-lower/,"Thu, 05 Ma","Geopolitical instability challenges crypto's role as a safe haven, highlighting its vulnerability to macroeconomic shifts and market sentiment. The post Geopolitical tensions drag crypto lower as Middle East conflict escalates appeared first on Crypto Briefing .",N/A,unknown,vulnerability,{},2026-03-06 15:08:35
news,CryptoBriefing,"Alpin Yukseloglu: AI will revolutionize crypto security, superhuman auditors are on the horizon, and emerging markets offer high-yield opportunities | Bankless",https://cryptobriefing.com/alpin-yukseloglu-ai-will-revolutionize-crypto-security-superhuman-auditors-are-on-the-horizon-and-emerging-markets-offer-high-yield-opportunities-bankless/,"Thu, 05 Ma","AI advancements are set to revolutionize crypto security, potentially eliminating critical vulnerabilities in smart contracts. The post Alpin Yukseloglu: AI will revolutionize crypto security, superhuman auditors are on the horizon, and emerging markets offer high-yield opportunities | Bankless appeared first on Crypto Briefing .",N/A,unknown,smart contract,{},2026-03-06 15:08:35
news,CryptoBriefing,"BC.GAME offers $500,000 bounty to track wallet tied to $4.3 million exploit",https://cryptobriefing.com/crypto-wallet-bounty-bcgame/,"Thu, 05 Ma","The bounty highlights the growing importance of blockchain transparency and collaboration in addressing security breaches in digital finance. The post BC.GAME offers $500,000 bounty to track wallet tied to $4.3 million exploit appeared first on Crypto Briefing .",N/A,unknown,exploit,{},2026-03-06 15:08:35
news,Google News,AI Agents Can Hack Smart Contracts on Autopilot - Bank Info Security,https://news.google.com/rss/articles/CBMijAFBVV95cUxPdWZFdjRHXzE3V2dtWUw3TmU2dGpUaE9fMTRKRFE0QUpPamMwNFNCd0FuYUN0Zm40NU5wdHRBSDJ2aVp5enlQQUk3dDdXREdoVTY1dUVXcUxKQTRJRDcyWEMyV0hURTJaV0c4eGtKdlo1T3F0UkZVdEZScXc5cWlhYXY1UFFtendsWTloWQ?oc=5,2025-08-01,AI Agents Can Hack Smart Contracts on Autopilot Bank Info Security,N/A,unknown,smart contract,{},2026-03-06 15:08:38
news,Google News,North Korean Hackers Use EtherHiding to Hide Malware Inside Blockchain Smart Contracts - The Hacker News,https://news.google.com/rss/articles/CBMihAFBVV95cUxOeG1nVWFxaDN1X3c3VzFtTGhBVXpjX3lvcUgxRXQwLTdOVndOZUdIbXduelBseF9STUZ0c1pDb196RUowOTNOQ0lvSFV6R1JCVk16NmplVEMtanRxQ2M3M0xLQnlvOXV1TjZfaUppX3dqeUxzam0xQ0JyWW1CbHh6RVNQUE4?oc=5,2025-10-16,North Korean Hackers Use EtherHiding to Hide Malware Inside Blockchain Smart Contracts The Hacker News,N/A,unknown,smart contract,{},2026-03-06 15:08:38
