source,title,url,date,summary,keyword_matched,scraped_at
CoinTelegraph,Solv Protocol offers 10% bounty after $2.7M vault exploit,https://cointelegraph.com/news/hacker-steals-nearly-3-million-from-solv-protocol?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,2026-03-06,"Crypto security researchers say the hacker exploited a bug allowing them to mint tokens, before swapping the freely-gained tokens for another tied to Bitcoin.",exploit,2026-03-06 13:42:25
Decrypt.co,FATF Flags Peer-to-Peer Stablecoin Transfers as Top Money Laundering Risk,https://decrypt.co/360087/fatf-flags-peer-to-peer-stablecoin-transfers-as-top-money-laundering-risk,2026-03-05,The Financial Action Task Force wants issuers to embed freeze and deny-list controls directly into smart contracts.,smart contract,2026-03-06 13:42:31
Decrypt.co,"Apple iPhone Hacking Kit Used By Spies, Crypto Scams Could Have US Intelligence Origins",https://decrypt.co/359927/apple-iphone-hacking-kit-used-by-spies-crypto-scams-could-have-us-intelligence-origins,2026-03-04,Researchers said a sophisticated exploit kit with 23 iOS vulnerabilities is being used by espionage and cybercrime campaigns.,exploit,2026-03-06 13:42:31
Google News,OpenAI and Paradigm Launch EVMbench to Test AI Smart Contract Hacking - MEXC,https://news.google.com/rss/articles/CBMiR0FVX3lxTE1vSTV3dXFDZXRjT3NPaWE2SVh4QTlPRmh6N3JWUHoxNmVmLXBKaHNXWHBUREd4NlcwWVdlX0hpM2VRM0JKOU1V?oc=5,2026-03-05,OpenAI and Paradigm Launch EVMbench to Test AI Smart Contract Hacking &nbsp;&nbsp; MEXC,smart contract,2026-03-06 13:42:41
Google News,OWASP Reveals Top 10 Smart Contract Vulnerabilities For 2026 - LinkedIn,https://news.google.com/rss/articles/CBMikgFBVV95cUxOUWdjYUU1eHJRcVc1QkZXUUtPRUUwS0RiSGM0SjN5Z1NzZ013ZWNvaS00UUNtRTRsbi1idnYxWV90SHFHYzZLLUlKZC1fUVZLdlZkUkx6NHAwcjQzWEdKTnRpWWluSGhWZVRydVpRUVlmR0I4OFJMcG4zNnk2bXB1ZDA0UlFUeFNoT2xoY0xOZERLZw?oc=5,2026-02-24,OWASP Reveals Top 10 Smart Contract Vulnerabilities For 2026 &nbsp;&nbsp; LinkedIn,smart contract,2026-03-06 13:42:41
Google News,IoTeX bridge exploit raises debate over losses and recovery prospects as CEO offers 10% bounty - CoinDesk,https://news.google.com/rss/articles/CBMitAFBVV95cUxOOW1uZVE2R0prMmNNaExYOGI1UEYwcUhaSVRNQmx2Uk1sUHhoODE2X08zX3RwZm9oOGdLTThCUWhfdlJWRmJpWjJQei1aT1phUGtOVVk3VFBYcjU2VGdOellJT2x1cEtnQnhCdFROblZ3ZUxxajh3bk44TzdPeVFGOFFkT2VEWWI4eE10LVgtQXdjdGxyampwVmNFa0YtOU9vcDdqQkNCYTlEd2o1QW5GbUpaM0w?oc=5,2026-02-23,IoTeX bridge exploit raises debate over losses and recovery prospects as CEO offers 10% bounty &nbsp;&nbsp; CoinDesk,exploit,2026-03-06 13:42:41
Google News,OWASP Smart Contract Top 10 2026 — Security Risks and Vulnerabilities - CybersecurityNews,https://news.google.com/rss/articles/CBMicEFVX3lxTE1jVDAza21xTXRJOXpXdzR3dmR4Y2hTaDF0UjBVcVBDMU9kZUZxRzB0OHpEWXRpd3BVQW4xbFZFZFhQQWtweFlSajNVY3Nob09xSHNGa0ZITnpRX3kzSjJoU0FRTzNNZVhLZkI5Q3l6V0LSAXZBVV95cUxOamd4WlhQTWNWbjZLa2VYYzRReTVuTmV1SUwySVBQV2VjbWR0VXFIZ08wQ0ZjbVJWeUp6OWk5OEtqeUtMVnR4VmpiVWFFUzlGS05GWGM0Z0N5YldxaDVYdGZXTnZ1M2MtenZxZlhUVG5EbThVZWVB?oc=5,2026-02-23,OWASP Smart Contract Top 10 2026 — Security Risks and Vulnerabilities &nbsp;&nbsp; CybersecurityNews,smart contract,2026-03-06 13:42:41
Google News,"IoTeX hit by private key exploit draining around $2 million from bridge contracts, per co-founder - The Block",https://news.google.com/rss/articles/CBMiuAFBVV95cUxOOFd0Q0hvYUp0dk9hdm81SEpWa1pTV0k4SU9pRTZUWEczSksyLUxnUUNwREZrTXZIVkgwcEVRUUNxZlU5bFMtd2c1MmtpUTY1b21MOWYzUEdUOTVzWVhjOGZ3d1l5YWc2bEI1eTF5VW5yXzBhaXk1cVQ5eU5QbzREaDV2YWQ2R0xqclRnNnZOMi1HdFZHNGVkNnQ1TXpxcnJ4SFh2MWlBWkdndjdxT0ZIcThaV210YlNO?oc=5,2026-02-21,"IoTeX hit by private key exploit draining around $2 million from bridge contracts, per co-founder &nbsp;&nbsp; The Block",exploit,2026-03-06 13:42:41
Google News,Specialized AI detects 92% of real-world DeFi exploits - CoinDesk,https://news.google.com/rss/articles/CBMinwFBVV95cUxNMi1idmFJb20tZlMxSFJLQVE2UlNEbm8zODRzVm1iSGxram52emNRV0plc0tkaTBYS2ljNEI5azl0aTFKaEwzdHpPZkRUd28zV2wwT1V0R082Z2tOYUU4dHphalg0eHRNRS1vNlZ2ZnF1ZHlfOTkwMlBPMVV6aV82TzdTRGJDYVhtNWpka0NSeHV4ME5OTEVRSGZKa09QLTg?oc=5,2026-02-20,Specialized AI detects 92% of real-world DeFi exploits &nbsp;&nbsp; CoinDesk,exploit,2026-03-06 13:42:41
Google News,Specialized AI detects 92% of real-world DeFi exploits - Cryptonews.net,https://news.google.com/rss/articles/CBMiWkFVX3lxTFBNXzNzd3Zta01LOGFvTVZ4MHBOczlPRVIzTlJ2SlVaMnhNMHBJbFNJRUc5cS1pZVppNnZsTXprWmlxU3h4alRkLWlzVFc0X3EyT2Z3VWhqNzdHdw?oc=5,2026-02-20,Specialized AI detects 92% of real-world DeFi exploits &nbsp;&nbsp; Cryptonews.net,exploit,2026-03-06 13:42:41
Google News,Moonwell DeFi protocol hit by $1.7 million hack after AI smart contract bug - 디지털투데이,https://news.google.com/rss/articles/CBMiugFBVV95cUxNQ1BoYzRWZHVwdEx3aVQzZjNveDB2aWhJMHgwWTMwQWVSS2dMelVjWDdCeVNSR2dZek9NZFUzTW83V3JyUHpXNXRzeWRUelJWS3ZCMU5KeWFuMkNEejJla2ZqWlFJOFd3ZFJkOVlSUmhuT1poOWhvSFJmSjJPM1BYMU5JMlNyZm1UMkFIWUJHQzQ0a2dzaGNCck1kYS1VV0NjSGotNmVYSXVuMmx6dElVc1lnREtqT25LNVE?oc=5,2026-02-19,Moonwell DeFi protocol hit by $1.7 million hack after AI smart contract bug &nbsp;&nbsp; 디지털투데이,smart contract,2026-03-06 13:42:38
Google News,Crypto News Today: AI Agents Step in After US$3.4bn Crypto Hacks Shake Smart Contracts - Analytics Insight,https://news.google.com/rss/articles/CBMivgFBVV95cUxQelFuNFhJa3M0ODJnN0ljRnVNdWZfSjhFZGJnTF9zMWU3LTF5NFN1NW9BeVFRTEpIMG9mMzJwMU56QUdYa004R0cwampaOW9LaGowZV9fNC1XaF80a05mTVN1NzE2SlBWNVB6OS02MTNQaVd2eHBLUjJpQVVFeTZkS1hkY1J0SVBWNm9LVEtFWExyZTR1WXc5ckJlaDVQSENpTVpWREhnZW9VdlFEXzVXYTRRemM4NXptOVNNT09B0gHLAUFVX3lxTE5OS0V0bThIN1RVR0cyWS1LTU5UMFZrUDJvczIzVy1INDJpb1dDdUxxMnJYVWszVGdKcjNpaEhmYktuVThjdWhXcVlpc1J3b2pkQVlxLWxJdFJ4SjVwTzJtcFhSWldKYmtwWF9OQ1hjSFJwcXU4YloyS2dxVXJiYlN2cFJ1SHFNTE5BUmk3cDFsbFZmM1RtbW5FYnlSY0t4WnZSblhPazdua2tBNlFoQ0Exci1zMHVJYjVnUVpCS2ZETHpsNmtPcjlhRlZv?oc=5,2026-02-19,Crypto News Today: AI Agents Step in After US$3.4bn Crypto Hacks Shake Smart Contracts &nbsp;&nbsp; Analytics Insight,smart contract,2026-03-06 13:42:38
Google News,New benchmark shows AI agents can exploit most smart contract vulnerabilities on their own - the-decoder.com,https://news.google.com/rss/articles/CBMitgFBVV95cUxOOTUtSHhuM1JGTlhGaERQdXJONE5DVFRKaGw5MEI4LUY3enUtVTdOX1NXLTRnOW0xSzFETEdJN0J4X1hkdEY4QzJXNW1UY2c4SG0xajh3MXdyZWN0UlJoMUdXWjhHSlgyS203NDV3a1UtampReVFGOVVLX1owY19tb19lSElCNmhxc3BNWnJuRUE1LWJrN0Z5SnZZdXlCbmFsNUZJbjBNTXlKRDUyMGg1VnMzMnlfQQ?oc=5,2026-02-19,New benchmark shows AI agents can exploit most smart contract vulnerabilities on their own &nbsp;&nbsp; the-decoder.com,smart contract,2026-03-06 13:42:41
